datetime,temperature_2m,relative_humidity_2m,wind_speed_10m
2006-12-16 00:00:00,5.4,91,18.4
2006-12-16 01:00:00,5.3,92,18.6
2006-12-16 02:00:00,5.0,93,17.3
2006-12-16 03:00:00,5.1,93,16.1
2006-12-16 04:00:00,5.2,94,15.9
2006-12-16 05:00:00,5.6,94,15.5
2006-12-16 06:00:00,6.0,93,15.6
2006-12-16 07:00:00,5.9,94,16.2
2006-12-16 08:00:00,5.9,94,17.5
2006-12-16 09:00:00,6.1,93,18.6
2006-12-16 10:00:00,6.2,92,19.5
2006-12-16 11:00:00,6.7,90,20.0
2006-12-16 12:00:00,7.3,89,17.4
2006-12-16 13:00:00,8.0,89,18.6
2006-12-16 14:00:00,8.3,90,18.4
2006-12-16 15:00:00,8.4,94,15.5
2006-12-16 16:00:00,8.1,96,16.1
2006-12-16 17:00:00,7.4,95,15.2
2006-12-16 18:00:00,6.7,93,12.9
2006-12-16 19:00:00,6.3,93,12.3
2006-12-16 20:00:00,6.1,92,11.1
2006-12-16 21:00:00,5.9,91,9.0
2006-12-16 22:00:00,5.1,92,6.6
2006-12-16 23:00:00,4.3,94,6.3
2006-12-17 00:00:00,3.3,96,5.2
2006-12-17 01:00:00,2.5,97,4.7
2006-12-17 02:00:00,1.6,98,5.9
2006-12-17 03:00:00,1.0,98,6.8
2006-12-17 04:00:00,0.5,98,6.8
2006-12-17 05:00:00,0.2,97,7.2
2006-12-17 06:00:00,-0.0,97,7.4
2006-12-17 07:00:00,-0.2,97,7.4
2006-12-17 08:00:00,-0.1,97,7.8
2006-12-17 09:00:00,-0.0,99,8.0
2006-12-17 10:00:00,0.0,99,8.8
2006-12-17 11:00:00,1.0,99,8.8
2006-12-17 12:00:00,2.6,97,7.0
2006-12-17 13:00:00,4.3,93,6.9
2006-12-17 14:00:00,5.6,90,7.4
2006-12-17 15:00:00,6.5,86,9.2
2006-12-17 16:00:00,7.1,84,10.0
2006-12-17 17:00:00,6.9,86,9.4
2006-12-17 18:00:00,6.0,90,7.9
2006-12-17 19:00:00,5.4,93,8.9
2006-12-17 20:00:00,4.6,95,9.4
2006-12-17 21:00:00,4.6,95,9.6
2006-12-17 22:00:00,4.2,96,9.3
2006-12-17 23:00:00,3.7,96,8.9
2006-12-18 00:00:00,3.4,96,7.2
2006-12-18 01:00:00,2.9,97,7.6
2006-12-18 02:00:00,2.6,97,6.8
2006-12-18 03:00:00,2.2,98,6.2
2006-12-18 04:00:00,2.4,98,5.9
2006-12-18 05:00:00,2.3,98,5.1
2006-12-18 06:00:00,1.6,98,6.5
2006-12-18 07:00:00,1.6,97,3.8
2006-12-18 08:00:00,1.2,98,2.3
2006-12-18 09:00:00,2.0,97,1.8
2006-12-18 10:00:00,1.6,98,1.9
2006-12-18 11:00:00,2.4,99,2.3
2006-12-18 12:00:00,3.3,97,5.6
2006-12-18 13:00:00,4.1,96,5.1
2006-12-18 14:00:00,4.6,92,4.4
2006-12-18 15:00:00,5.1,90,3.7
2006-12-18 16:00:00,5.2,89,6.1
2006-12-18 17:00:00,5.0,92,7.7
2006-12-18 18:00:00,4.6,95,8.4
2006-12-18 19:00:00,4.3,96,9.9
2006-12-18 20:00:00,3.9,96,11.2
2006-12-18 21:00:00,3.5,96,12.5
2006-12-18 22:00:00,3.3,94,12.8
2006-12-18 23:00:00,2.8,94,12.1
2006-12-19 00:00:00,2.3,93,11.5
2006-12-19 01:00:00,1.7,94,12.3
2006-12-19 02:00:00,1.1,95,12.1
2006-12-19 03:00:00,1.1,94,11.9
2006-12-19 04:00:00,0.8,95,12.6
2006-12-19 05:00:00,0.7,95,13.4
2006-12-19 06:00:00,0.6,95,14.7
2006-12-19 07:00:00,0.7,96,15.3
2006-12-19 08:00:00,0.8,96,15.6
2006-12-19 09:00:00,0.6,95,16.1
2006-12-19 10:00:00,0.7,94,16.1
2006-12-19 11:00:00,1.2,92,17.4
2006-12-19 12:00:00,2.1,86,17.7
2006-12-19 13:00:00,3.0,81,19.2
2006-12-19 14:00:00,3.7,77,19.0
2006-12-19 15:00:00,4.2,75,18.8
2006-12-19 16:00:00,4.2,75,19.8
2006-12-19 17:00:00,3.8,77,19.0
2006-12-19 18:00:00,2.8,81,18.4
2006-12-19 19:00:00,1.9,86,18.2
2006-12-19 20:00:00,1.5,89,17.6
2006-12-19 21:00:00,1.5,91,17.2
2006-12-19 22:00:00,1.3,90,17.0
2006-12-19 23:00:00,1.1,89,17.1
2006-12-20 00:00:00,0.9,87,18.2
2006-12-20 01:00:00,0.6,87,17.7
2006-12-20 02:00:00,0.4,87,17.4
2006-12-20 03:00:00,0.0,89,16.4
2006-12-20 04:00:00,-0.3,90,16.5
2006-12-20 05:00:00,-0.5,91,16.4
2006-12-20 06:00:00,-0.7,92,16.4
2006-12-20 07:00:00,-0.8,92,17.5
2006-12-20 08:00:00,-0.8,93,17.7
2006-12-20 09:00:00,-0.5,92,16.8
2006-12-20 10:00:00,-0.6,92,15.6
2006-12-20 11:00:00,0.1,89,15.6
2006-12-20 12:00:00,1.4,84,14.7
2006-12-20 13:00:00,2.8,78,14.6
2006-12-20 14:00:00,4.0,74,14.8
2006-12-20 15:00:00,4.6,71,14.9
2006-12-20 16:00:00,4.8,71,14.4
2006-12-20 17:00:00,4.2,75,13.2
2006-12-20 18:00:00,2.9,81,12.6
2006-12-20 19:00:00,1.9,86,12.9
2006-12-20 20:00:00,1.3,89,12.9
2006-12-20 21:00:00,1.0,90,12.6
2006-12-20 22:00:00,0.8,92,12.0
2006-12-20 23:00:00,0.6,93,11.2
2006-12-21 00:00:00,0.4,94,11.6
2006-12-21 01:00:00,0.3,95,12.1
2006-12-21 02:00:00,0.2,95,11.9
2006-12-21 03:00:00,0.3,96,11.8
2006-12-21 04:00:00,0.1,96,11.8
2006-12-21 05:00:00,0.1,97,11.6
2006-12-21 06:00:00,0.2,97,11.8
2006-12-21 07:00:00,0.5,97,11.4
2006-12-21 08:00:00,1.0,97,11.8
2006-12-21 09:00:00,1.3,97,12.1
2006-12-21 10:00:00,1.7,97,12.6
2006-12-21 11:00:00,2.6,96,13.5
2006-12-21 12:00:00,3.9,92,13.7
2006-12-21 13:00:00,5.0,88,15.1
2006-12-21 14:00:00,5.8,86,15.8
2006-12-21 15:00:00,6.4,84,18.2
2006-12-21 16:00:00,6.7,83,17.9
2006-12-21 17:00:00,6.6,84,16.6
2006-12-21 18:00:00,6.1,86,16.3
2006-12-21 19:00:00,5.9,88,16.8
2006-12-21 20:00:00,5.7,89,16.5
2006-12-21 21:00:00,4.6,93,16.0
2006-12-21 22:00:00,4.4,94,15.7
2006-12-21 23:00:00,4.4,94,15.2
2006-12-22 00:00:00,4.0,95,15.0
2006-12-22 01:00:00,3.8,95,15.1
2006-12-22 02:00:00,3.7,95,14.4
2006-12-22 03:00:00,3.5,96,14.8
2006-12-22 04:00:00,3.3,95,15.5
2006-12-22 05:00:00,2.9,95,16.3
2006-12-22 06:00:00,2.8,95,16.8
2006-12-22 07:00:00,2.5,95,16.5
2006-12-22 08:00:00,2.2,95,15.6
2006-12-22 09:00:00,1.9,95,14.8
2006-12-22 10:00:00,1.7,95,14.6
2006-12-22 11:00:00,2.3,94,15.6
2006-12-22 12:00:00,3.5,89,14.5
2006-12-22 13:00:00,4.6,83,15.4
2006-12-22 14:00:00,5.5,78,16.3
2006-12-22 15:00:00,6.0,76,16.1
2006-12-22 16:00:00,6.1,76,15.8
2006-12-22 17:00:00,5.6,79,14.1
2006-12-22 18:00:00,4.5,84,12.5
2006-12-22 19:00:00,3.7,88,13.2
2006-12-22 20:00:00,3.0,91,13.3
2006-12-22 21:00:00,2.8,91,12.7
2006-12-22 22:00:00,2.4,92,12.0
2006-12-22 23:00:00,2.0,93,11.2
2006-12-23 00:00:00,1.6,93,10.3
2006-12-23 01:00:00,1.3,93,10.8
2006-12-23 02:00:00,0.9,93,10.3
2006-12-23 03:00:00,0.5,94,10.2
2006-12-23 04:00:00,0.2,94,11.0
2006-12-23 05:00:00,-0.0,94,11.2
2006-12-23 06:00:00,-0.2,94,11.2
2006-12-23 07:00:00,-0.4,93,10.9
2006-12-23 08:00:00,-0.5,93,10.4
2006-12-23 09:00:00,-0.8,95,9.4
2006-12-23 10:00:00,-0.8,95,9.7
2006-12-23 11:00:00,-0.1,94,10.7
2006-12-23 12:00:00,1.4,91,11.5
2006-12-23 13:00:00,2.9,86,11.8
2006-12-23 14:00:00,3.7,84,12.7
2006-12-23 15:00:00,3.9,83,13.0
2006-12-23 16:00:00,4.1,83,13.6
2006-12-23 17:00:00,4.0,84,14.2
2006-12-23 18:00:00,3.7,86,10.5
2006-12-23 19:00:00,3.6,87,9.0
2006-12-23 20:00:00,3.3,89,8.4
2006-12-23 21:00:00,2.6,92,5.7
2006-12-23 22:00:00,2.3,93,4.7
2006-12-23 23:00:00,1.9,95,4.7
2006-12-24 00:00:00,1.4,96,5.8
2006-12-24 01:00:00,1.0,97,6.9
2006-12-24 02:00:00,0.8,98,7.0
2006-12-24 03:00:00,0.4,97,7.0
2006-12-24 04:00:00,0.3,97,8.2
2006-12-24 05:00:00,0.3,97,7.7
2006-12-24 06:00:00,0.2,98,7.4
2006-12-24 07:00:00,0.4,97,7.4
2006-12-24 08:00:00,0.4,97,6.9
2006-12-24 09:00:00,1.2,96,6.9
2006-12-24 10:00:00,1.0,97,8.0
2006-12-24 11:00:00,1.3,94,7.6
2006-12-24 12:00:00,1.6,90,5.1
2006-12-24 13:00:00,1.9,89,6.4
2006-12-24 14:00:00,2.1,88,6.0
2006-12-24 15:00:00,2.3,86,5.6
2006-12-24 16:00:00,2.5,85,6.3
2006-12-24 17:00:00,2.6,84,6.8
2006-12-24 18:00:00,2.4,86,6.5
2006-12-24 19:00:00,2.3,87,5.5
2006-12-24 20:00:00,2.0,92,3.2
2006-12-24 21:00:00,1.9,90,2.6
2006-12-24 22:00:00,1.9,90,1.3
2006-12-24 23:00:00,1.6,91,1.5
2006-12-25 00:00:00,1.3,93,4.0
2006-12-25 01:00:00,0.5,96,4.0
2006-12-25 02:00:00,0.1,98,4.7
2006-12-25 03:00:00,0.2,98,5.6
2006-12-25 04:00:00,-0.1,99,5.7
2006-12-25 05:00:00,-0.1,99,5.4
2006-12-25 06:00:00,0.3,99,5.2
2006-12-25 07:00:00,0.1,99,5.3
2006-12-25 08:00:00,-0.1,100,5.3
2006-12-25 09:00:00,1.1,98,6.1
2006-12-25 10:00:00,1.1,99,6.4
2006-12-25 11:00:00,1.4,97,7.4
2006-12-25 12:00:00,1.8,95,9.4
2006-12-25 13:00:00,2.1,94,10.0
2006-12-25 14:00:00,2.4,93,9.4
2006-12-25 15:00:00,2.6,91,9.2
2006-12-25 16:00:00,2.7,91,9.2
2006-12-25 17:00:00,2.6,91,8.9
2006-12-25 18:00:00,2.3,92,8.5
2006-12-25 19:00:00,2.0,94,8.3
2006-12-25 20:00:00,1.7,95,8.0
2006-12-25 21:00:00,1.7,96,8.4
2006-12-25 22:00:00,1.5,96,8.7
2006-12-25 23:00:00,1.2,96,8.7
2006-12-26 00:00:00,1.0,97,8.9
2006-12-26 01:00:00,0.7,96,8.7
2006-12-26 02:00:00,0.6,95,7.7
2006-12-26 03:00:00,0.6,94,7.5
2006-12-26 04:00:00,0.4,94,7.9
2006-12-26 05:00:00,0.3,94,8.1
2006-12-26 06:00:00,0.3,94,7.8
2006-12-26 07:00:00,0.1,94,7.6
2006-12-26 08:00:00,0.1,93,6.8
2006-12-26 09:00:00,0.3,95,6.1
2006-12-26 10:00:00,0.3,94,5.8
2006-12-26 11:00:00,0.3,94,6.4
2006-12-26 12:00:00,0.5,93,5.8
2006-12-26 13:00:00,0.8,92,6.2
2006-12-26 14:00:00,1.0,91,6.9
2006-12-26 15:00:00,1.2,91,6.7
2006-12-26 16:00:00,1.2,91,6.3
2006-12-26 17:00:00,1.2,90,6.4
2006-12-26 18:00:00,1.0,91,6.5
2006-12-26 19:00:00,0.9,91,5.9
2006-12-26 20:00:00,0.8,92,5.8
2006-12-26 21:00:00,-0.2,93,5.6
2006-12-26 22:00:00,-0.2,92,5.2
2006-12-26 23:00:00,-0.2,91,5.1
2006-12-27 00:00:00,-0.2,91,4.5
2006-12-27 01:00:00,-0.3,91,3.2
2006-12-27 02:00:00,-0.3,89,4.2
2006-12-27 03:00:00,-0.3,89,3.7
2006-12-27 04:00:00,-0.3,88,5.7
2006-12-27 05:00:00,-0.4,87,5.4
2006-12-27 06:00:00,-0.4,87,4.9
2006-12-27 07:00:00,-0.3,85,6.6
2006-12-27 08:00:00,-0.2,84,5.9
2006-12-27 09:00:00,-0.2,84,7.4
2006-12-27 10:00:00,-0.1,83,7.9
2006-12-27 11:00:00,0.0,81,8.1
2006-12-27 12:00:00,0.3,80,8.7
2006-12-27 13:00:00,0.6,80,9.4
2006-12-27 14:00:00,0.9,79,9.0
2006-12-27 15:00:00,1.0,79,9.0
2006-12-27 16:00:00,1.1,78,7.9
2006-12-27 17:00:00,1.0,79,6.6
2006-12-27 18:00:00,0.8,79,5.4
2006-12-27 19:00:00,0.6,80,5.5
2006-12-27 20:00:00,0.5,80,6.2
2006-12-27 21:00:00,0.4,83,6.7
2006-12-27 22:00:00,0.3,84,4.9
2006-12-27 23:00:00,0.1,86,5.4
2006-12-28 00:00:00,-0.2,88,7.2
2006-12-28 01:00:00,-0.4,88,8.1
2006-12-28 02:00:00,-0.6,89,7.6
2006-12-28 03:00:00,-0.8,90,6.9
2006-12-28 04:00:00,-0.7,89,7.9
2006-12-28 05:00:00,-0.8,90,8.3
2006-12-28 06:00:00,-0.9,90,6.9
2006-12-28 07:00:00,-1.2,91,8.0
2006-12-28 08:00:00,-1.6,92,9.1
2006-12-28 09:00:00,-1.4,94,9.2
2006-12-28 10:00:00,-1.4,93,7.9
2006-12-28 11:00:00,-1.1,92,8.2
2006-12-28 12:00:00,-0.5,90,6.6
2006-12-28 13:00:00,0.5,86,6.5
2006-12-28 14:00:00,1.3,83,6.0
2006-12-28 15:00:00,2.2,79,5.2
2006-12-28 16:00:00,2.7,77,5.1
2006-12-28 17:00:00,2.6,79,5.4
2006-12-28 18:00:00,1.7,83,5.2
2006-12-28 19:00:00,0.3,90,5.6
2006-12-28 20:00:00,-0.6,92,7.9
2006-12-28 21:00:00,-1.2,95,7.9
2006-12-28 22:00:00,-1.2,96,8.8
2006-12-28 23:00:00,-1.1,96,7.0
2006-12-29 00:00:00,-1.4,95,6.1
2006-12-29 01:00:00,-1.6,95,7.2
2006-12-29 02:00:00,-2.0,95,7.6
2006-12-29 03:00:00,-2.3,94,8.0
2006-12-29 04:00:00,-2.4,92,8.8
2006-12-29 05:00:00,-2.3,91,10.0
2006-12-29 06:00:00,-2.1,90,11.3
2006-12-29 07:00:00,-1.8,89,12.3
2006-12-29 08:00:00,-1.7,88,13.0
2006-12-29 09:00:00,-1.7,92,13.0
2006-12-29 10:00:00,-1.5,90,13.4
2006-12-29 11:00:00,-0.5,87,15.2
2006-12-29 12:00:00,1.5,81,18.1
2006-12-29 13:00:00,3.5,75,17.3
2006-12-29 14:00:00,4.8,72,16.6
2006-12-29 15:00:00,5.5,70,18.6
2006-12-29 16:00:00,5.6,69,17.1
2006-12-29 17:00:00,5.1,70,16.7
2006-12-29 18:00:00,4.2,72,16.6
2006-12-29 19:00:00,3.5,75,16.9
2006-12-29 20:00:00,3.2,76,17.7
2006-12-29 21:00:00,3.6,79,18.7
2006-12-29 22:00:00,3.9,76,19.8
2006-12-29 23:00:00,3.8,74,21.0
2006-12-30 00:00:00,3.9,72,23.4
2006-12-30 01:00:00,4.0,69,24.2
2006-12-30 02:00:00,4.3,66,24.2
2006-12-30 03:00:00,4.8,65,23.6
2006-12-30 04:00:00,5.0,70,23.6
2006-12-30 05:00:00,5.3,75,24.1
2006-12-30 06:00:00,5.6,79,26.4
2006-12-30 07:00:00,6.1,80,26.5
2006-12-30 08:00:00,6.5,78,27.4
2006-12-30 09:00:00,7.8,73,28.1
2006-12-30 10:00:00,7.3,82,29.0
2006-12-30 11:00:00,7.3,85,29.3
2006-12-30 12:00:00,7.5,85,27.7
2006-12-30 13:00:00,7.9,84,27.7
2006-12-30 14:00:00,8.5,83,26.9
2006-12-30 15:00:00,9.0,82,26.9
2006-12-30 16:00:00,9.6,82,28.3
2006-12-30 17:00:00,10.1,83,31.2
2006-12-30 18:00:00,10.4,81,32.9
2006-12-30 19:00:00,10.4,79,36.4
2006-12-30 20:00:00,10.5,79,38.9
2006-12-30 21:00:00,11.3,81,37.4
2006-12-30 22:00:00,11.3,84,32.9
2006-12-30 23:00:00,11.0,81,30.1
2006-12-31 00:00:00,10.0,77,24.5
2006-12-31 01:00:00,9.2,74,24.5
2006-12-31 02:00:00,8.4,75,22.7
2006-12-31 03:00:00,7.7,80,21.1
2006-12-31 04:00:00,7.2,85,20.9
2006-12-31 05:00:00,6.9,89,21.1
2006-12-31 06:00:00,6.6,90,21.3
2006-12-31 07:00:00,6.4,91,21.6
2006-12-31 08:00:00,6.2,91,21.5
2006-12-31 09:00:00,6.2,93,20.7
2006-12-31 10:00:00,6.2,94,19.6
2006-12-31 11:00:00,6.5,94,19.7
2006-12-31 12:00:00,7.5,92,18.6
2006-12-31 13:00:00,8.2,90,21.1
2006-12-31 14:00:00,9.0,88,24.0
2006-12-31 15:00:00,9.4,86,27.4
2006-12-31 16:00:00,9.9,85,24.4
2006-12-31 17:00:00,10.4,85,25.3
2006-12-31 18:00:00,10.8,83,27.4
2006-12-31 19:00:00,11.1,83,30.3
2006-12-31 20:00:00,11.5,85,31.7
2006-12-31 21:00:00,11.8,88,31.4
2006-12-31 22:00:00,12.0,89,31.5
2006-12-31 23:00:00,11.8,92,31.3
2007-01-01 00:00:00,11.9,95,31.3
2007-01-01 01:00:00,12.4,92,35.7
2007-01-01 02:00:00,12.4,92,34.9
2007-01-01 03:00:00,12.2,93,33.8
2007-01-01 04:00:00,11.8,92,32.4
2007-01-01 05:00:00,11.4,87,25.3
2007-01-01 06:00:00,10.5,83,24.4
2007-01-01 07:00:00,9.8,82,25.4
2007-01-01 08:00:00,9.0,81,27.4
2007-01-01 09:00:00,8.9,80,28.5
2007-01-01 10:00:00,8.3,78,29.4
2007-01-01 11:00:00,8.4,74,29.8
2007-01-01 12:00:00,8.8,70,25.9
2007-01-01 13:00:00,9.3,68,26.6
2007-01-01 14:00:00,9.7,66,28.1
2007-01-01 15:00:00,9.9,64,23.1
2007-01-01 16:00:00,9.8,65,19.3
2007-01-01 17:00:00,9.0,68,15.3
2007-01-01 18:00:00,8.3,70,16.1
2007-01-01 19:00:00,7.8,71,17.2
2007-01-01 20:00:00,7.2,76,18.7
2007-01-01 21:00:00,6.5,87,20.6
2007-01-01 22:00:00,5.9,93,19.2
2007-01-01 23:00:00,6.0,95,24.6
2007-01-02 00:00:00,6.4,89,31.9
2007-01-02 01:00:00,6.1,86,31.2
2007-01-02 02:00:00,6.0,84,29.2
2007-01-02 03:00:00,5.9,81,27.2
2007-01-02 04:00:00,5.9,78,25.2
2007-01-02 05:00:00,5.6,78,23.4
2007-01-02 06:00:00,5.3,80,22.4
2007-01-02 07:00:00,5.3,80,21.3
2007-01-02 08:00:00,5.5,77,19.8
2007-01-02 09:00:00,4.6,80,19.6
2007-01-02 10:00:00,4.8,79,20.0
2007-01-02 11:00:00,5.4,79,22.1
2007-01-02 12:00:00,6.5,78,17.8
2007-01-02 13:00:00,7.4,74,21.3
2007-01-02 14:00:00,7.7,76,22.1
2007-01-02 15:00:00,8.0,79,25.3
2007-01-02 16:00:00,8.1,79,23.9
2007-01-02 17:00:00,7.0,83,22.4
2007-01-02 18:00:00,6.7,84,20.3
2007-01-02 19:00:00,6.2,84,20.5
2007-01-02 20:00:00,6.1,84,20.6
2007-01-02 21:00:00,6.2,82,20.2
2007-01-02 22:00:00,6.3,81,18.7
2007-01-02 23:00:00,6.1,82,17.1
2007-01-03 00:00:00,6.2,82,14.0
2007-01-03 01:00:00,5.8,85,13.8
2007-01-03 02:00:00,5.5,88,13.2
2007-01-03 03:00:00,5.2,90,11.6
2007-01-03 04:00:00,4.9,92,11.5
2007-01-03 05:00:00,4.7,93,11.6
2007-01-03 06:00:00,4.5,93,11.7
2007-01-03 07:00:00,4.0,94,10.5
2007-01-03 08:00:00,3.7,94,10.6
2007-01-03 09:00:00,4.4,94,10.6
2007-01-03 10:00:00,4.1,94,11.3
2007-01-03 11:00:00,4.6,93,13.4
2007-01-03 12:00:00,5.3,92,14.6
2007-01-03 13:00:00,6.3,90,17.8
2007-01-03 14:00:00,7.9,84,19.4
2007-01-03 15:00:00,8.4,82,19.2
2007-01-03 16:00:00,8.5,82,19.5
2007-01-03 17:00:00,8.2,84,17.9
2007-01-03 18:00:00,7.7,86,18.7
2007-01-03 19:00:00,7.5,87,19.7
2007-01-03 20:00:00,7.5,87,20.9
2007-01-03 21:00:00,7.5,88,21.9
2007-01-03 22:00:00,7.5,88,22.7
2007-01-03 23:00:00,7.5,89,23.3
2007-01-04 00:00:00,7.5,89,24.2
2007-01-04 01:00:00,7.5,89,24.5
2007-01-04 02:00:00,7.7,88,25.4
2007-01-04 03:00:00,8.1,88,25.2
2007-01-04 04:00:00,8.3,88,24.9
2007-01-04 05:00:00,8.2,92,25.3
2007-01-04 06:00:00,8.5,94,25.2
2007-01-04 07:00:00,9.1,94,23.9
2007-01-04 08:00:00,9.5,92,22.1
2007-01-04 09:00:00,9.5,87,21.3
2007-01-04 10:00:00,9.2,86,21.6
2007-01-04 11:00:00,9.0,86,21.9
2007-01-04 12:00:00,9.2,84,23.1
2007-01-04 13:00:00,9.8,82,22.0
2007-01-04 14:00:00,10.1,79,22.7
2007-01-04 15:00:00,10.3,75,23.1
2007-01-04 16:00:00,10.3,75,21.4
2007-01-04 17:00:00,10.1,74,19.6
2007-01-04 18:00:00,9.4,76,17.7
2007-01-04 19:00:00,8.8,78,18.0
2007-01-04 20:00:00,8.4,79,18.4
2007-01-04 21:00:00,8.3,78,18.7
2007-01-04 22:00:00,8.3,78,18.4
2007-01-04 23:00:00,8.1,80,17.3
2007-01-05 00:00:00,8.1,81,14.5
2007-01-05 01:00:00,7.7,83,15.2
