epoch,step,train_loss,val_loss
0,49,0.5388469354774901,
0,99,0.5271552917341591,
0,149,0.552190848198386,
0,199,0.5530233946026601,
0,249,0.6029891860405697,
0,299,0.5279622956972219,
0,349,0.4960372233786099,
0,373,,0.5360397904595671
1,399,0.5748022605731304,
1,449,0.5056660857044926,
1,499,0.5062537170904258,
1,549,0.5393880014637458,
1,599,0.5146963176122573,
1,649,0.5487147642588766,
1,699,0.4892320723915618,
1,747,,0.5349764693814768
2,749,0.477655935171723,
2,799,0.4837054159203503,
2,849,0.519213456929696,
2,899,0.45389520556907975,
2,949,0.5300066959489684,
2,999,0.4585103830231143,
2,1049,0.46922554258694227,
2,1099,0.5501174300626566,
2,1121,,0.5310477172175463
3,1149,0.5035371592944311,
3,1199,0.5315206581888088,
3,1249,0.45113668377778593,
3,1299,0.45144473040272604,
3,1349,0.45876552794581804,
3,1399,0.5074046803845206,
3,1449,0.4864943424022563,
3,1495,,0.5322599868229098
4,1499,0.4408739029308203,
4,1549,0.4441063663233045,
4,1599,0.49718477102459624,
4,1649,0.48559885660677155,
4,1699,0.4881976703652296,
4,1749,0.5102876300401049,
4,1799,0.4892035364748484,
4,1849,0.5122586637995422,
4,1869,,0.5385723686120016
5,1899,0.4209492762278302,
5,1949,0.4304523564451695,
5,1999,0.4114711107043026,
5,2049,0.4535381917669182,
5,2099,0.4674060610954421,
5,2149,0.44982876206802375,
5,2199,0.47534395715690075,
5,2243,,0.540242972742864
6,2249,0.41453218660971025,
6,2299,0.45287023218303474,
6,2349,0.4335539950098053,
6,2399,0.4387272081680742,
6,2449,0.4621590247820181,
6,2499,0.4543205458412863,
6,2549,0.4632097388352508,
6,2599,0.4131893309117181,
6,2617,,0.5485999382849289
7,2649,0.38779245170602705,
7,2699,0.4556314047795381,
7,2749,0.4437909714588484,
7,2799,0.44191716542050596,
7,2849,0.4655998632617962,
7,2899,0.4208206094656103,
7,2949,0.4771698012462807,
7,2991,,0.5527427601413695
8,2999,0.4593889746752995,
8,3049,0.4469800857459294,
8,3099,0.4039410497910521,
8,3149,0.4221043600402713,
8,3199,0.39720978793760625,
8,3249,0.40005555478041105,
8,3299,0.45376308934268006,
8,3349,0.4199291169734045,
8,3365,,0.5575801194073939
9,3399,0.3997290274258113,
9,3449,0.38159135924426224,
9,3499,0.36604171474965713,
9,3549,0.40745272072562366,
9,3599,0.3952736499661971,
9,3649,0.38089663573792465,
9,3699,0.4184625703673257,
9,3739,,0.5603005430379887
10,3749,0.40579929186831293,
10,3799,0.3964489713572788,
10,3849,0.37923273686823544,
10,3899,0.3439825312811662,
10,3949,0.37234736875547725,
10,3999,0.3769674052897372,
10,4049,0.38403041524293197,
10,4099,0.37544249048246014,
10,4113,,0.5627283929569411
11,4149,0.3809045495402612,
11,4199,0.361231729314514,
11,4249,0.385031758915702,
11,4299,0.3593300291318956,
11,4349,0.37318866390824923,
11,4399,0.3753838217613804,
11,4449,0.3959263912363647,
11,4487,,0.5673962943715024
12,4499,0.3373161285571058,
12,4549,0.37325226656511445,
12,4599,0.3618238359690169,
12,4649,0.35797561626990176,
12,4699,0.3784429005319002,
12,4749,0.3640711259676025,
12,4799,0.3391982400883573,
12,4849,0.37117219442992316,
12,4861,,0.5741805251710792
13,4899,0.35105418699519164,
13,4949,0.3551058365522257,
13,4999,0.3348172322464789,
13,5049,0.350636631674191,
13,5099,0.33271869218365735,
13,5149,0.3473003043024903,
13,5199,0.3738702832482227,
13,5235,,0.5732453203560266
14,5249,0.3114878949733678,
14,5299,0.3267420445501692,
14,5349,0.333303126812389,
14,5399,0.30507687984946186,
14,5449,0.3579724690333228,
14,5499,0.35055869724228395,
14,5549,0.37193066930391616,
14,5599,0.32662914603974,
14,5609,,0.5788108439620895
