run_at,model,MAE,RMSE,MAPE,R2,input_hours,covered_hours,model_path,config,epoch_log_path
2026-04-18T18:03:29,N-HiTS tuned 168h,0.4136,0.5882,51.51,0.2954,168,5160,/home/chbazakas/Documents/GridMind/outputs/models/nhits_tuned_168h.pt,"{""batch_size"": 128, ""dropout"": 0.05, ""input_chunk_length"": 168, ""layer_widths"": 512, ""lr"": 0.0005, ""model_name"": ""nhits_tuned_168h"", ""n_epochs"": 100, ""name"": ""N-HiTS tuned 168h"", ""num_blocks"": 2, ""num_layers"": 2, ""num_stacks"": 3}",
2026-04-18T18:03:29,N-HiTS tuned 336h,0.4154,0.5899,52.83,0.2912,336,5160,/home/chbazakas/Documents/GridMind/outputs/models/nhits_tuned_336h.pt,"{""batch_size"": 128, ""dropout"": 0.05, ""input_chunk_length"": 336, ""layer_widths"": 512, ""lr"": 0.0005, ""model_name"": ""nhits_tuned_336h"", ""n_epochs"": 100, ""name"": ""N-HiTS tuned 336h"", ""num_blocks"": 2, ""num_layers"": 2, ""num_stacks"": 3}",
2026-04-18T18:03:29,N-HiTS compact lags 168h,0.4135,0.582,54.26,0.3101,168,5160,/home/chbazakas/Documents/GridMind/outputs/models/nhits_compact_lags_168h.pt,"{""batch_size"": 64, ""beta"": 0.5, ""covariates"": [""hour_sin"", ""hour_cos"", ""dow_sin"", ""dow_cos"", ""is_weekend"", ""month"", ""lag_24h"", ""lag_48h"", ""lag_168h"", ""rolling_mean_24h"", ""rolling_std_24h""], ""dropout"": 0.1, ""input_chunk_length"": 168, ""layer_widths"": 256, ""loss"": ""smooth_l1"", ""lr"": 0.0003, ""model_name"": ""nhits_compact_lags_168h"", ""n_epochs"": 80, ""name"": ""N-HiTS compact lags 168h"", ""num_blocks"": 2, ""num_layers"": 2, ""num_stacks"": 3, ""scaler"": ""standard""}",
2026-04-18T18:05:39,N-HiTS compact lags MAE 168h,0.4066,0.5915,49.32,0.2874,168,5160,/home/chbazakas/Documents/GridMind/outputs/models/nhits_compact_lags_mae_168h.pt,"{""batch_size"": 64, ""covariates"": [""hour_sin"", ""hour_cos"", ""dow_sin"", ""dow_cos"", ""is_weekend"", ""month"", ""lag_24h"", ""lag_48h"", ""lag_168h"", ""rolling_mean_24h"", ""rolling_std_24h""], ""dropout"": 0.1, ""input_chunk_length"": 168, ""layer_widths"": 256, ""loss"": ""mae"", ""lr"": 0.0003, ""model_name"": ""nhits_compact_lags_mae_168h"", ""n_epochs"": 80, ""name"": ""N-HiTS compact lags MAE 168h"", ""num_blocks"": 2, ""num_layers"": 2, ""num_stacks"": 3, ""scaler"": ""standard""}",
2026-04-18T18:07:17,N-HiTS all covs MAE 168h,0.4133,0.5854,54.11,0.3019,168,5160,/home/chbazakas/Documents/GridMind/outputs/models/nhits_all_covs_mae_168h.pt,"{""batch_size"": 128, ""covariates"": [""Global_reactive_power"", ""Voltage"", ""Global_intensity"", ""Sub_metering_1"", ""Sub_metering_2"", ""Sub_metering_3"", ""hour_sin"", ""hour_cos"", ""dow_sin"", ""dow_cos"", ""is_weekend"", ""month"", ""lag_24h"", ""lag_48h"", ""lag_168h"", ""rolling_mean_24h"", ""rolling_std_24h""], ""dropout"": 0.05, ""input_chunk_length"": 168, ""layer_widths"": 512, ""loss"": ""mae"", ""lr"": 0.0003, ""model_name"": ""nhits_all_covs_mae_168h"", ""n_epochs"": 80, ""name"": ""N-HiTS all covs MAE 168h"", ""num_blocks"": 2, ""num_layers"": 2, ""num_stacks"": 3, ""scaler"": ""standard""}",
2026-04-18T18:08:09,N-HiTS compact lags MAE calibrated 168h,0.5173,0.6905,77.13,0.029,168,5160,/home/chbazakas/Documents/GridMind/outputs/models/nhits_compact_lags_mae_168h.pt,"{""base_model_path"": ""/home/chbazakas/Documents/GridMind/outputs/models/nhits_compact_lags_mae_168h.pt"", ""calibration"": ""per_horizon_linear_on_validation"", ""covariates"": [""hour_sin"", ""hour_cos"", ""dow_sin"", ""dow_cos"", ""is_weekend"", ""month"", ""lag_24h"", ""lag_48h"", ""lag_168h"", ""rolling_mean_24h"", ""rolling_std_24h""], ""model_name"": ""nhits_compact_lags_mae_168h"", ""name"": ""N-HiTS compact lags MAE calibrated 168h""}",
2026-04-18T18:10:23,N-HiTS compact lags MAE 336h,0.4102,0.592,50.19,0.2863,336,5160,/home/chbazakas/Documents/GridMind/outputs/models/nhits_compact_lags_mae_336h.pt,"{""batch_size"": 64, ""covariates"": [""hour_sin"", ""hour_cos"", ""dow_sin"", ""dow_cos"", ""is_weekend"", ""month"", ""lag_24h"", ""lag_48h"", ""lag_168h"", ""rolling_mean_24h"", ""rolling_std_24h""], ""dropout"": 0.1, ""input_chunk_length"": 336, ""layer_widths"": 256, ""loss"": ""mae"", ""lr"": 0.0003, ""model_name"": ""nhits_compact_lags_mae_336h"", ""n_epochs"": 80, ""name"": ""N-HiTS compact lags MAE 336h"", ""num_blocks"": 2, ""num_layers"": 2, ""num_stacks"": 3, ""scaler"": ""standard""}",
2026-04-18T18:47:45,N-HiTS compact lags MAE 168h,0.4062,0.5872,51.79,0.3022,168,5160,/home/chbazakas/Documents/GridMind/outputs/models/nhits_compact_lags_mae_168h.pt,"{""batch_size"": 64, ""covariates"": [""hour_sin"", ""hour_cos"", ""dow_sin"", ""dow_cos"", ""is_weekend"", ""month"", ""lag_24h"", ""lag_48h"", ""lag_168h"", ""rolling_mean_24h"", ""rolling_std_24h""], ""dropout"": 0.1, ""input_chunk_length"": 168, ""layer_widths"": 256, ""loss"": ""mae"", ""lr"": 0.0003, ""model_name"": ""nhits_compact_lags_mae_168h"", ""n_epochs"": 80, ""name"": ""N-HiTS compact lags MAE 168h"", ""num_blocks"": 2, ""num_layers"": 2, ""num_stacks"": 3, ""scaler"": ""standard""}",/home/chbazakas/Documents/GridMind/outputs/metrics/epochs_nhits_compact_lags_mae_168h.csv
2026-04-28T17:39:03,N-HiTS compact lags MAE 168h,0.4136,0.5827,55.6,0.3128,168,5160,/home/chbazakas/Documents/GridMind/outputs/models/nhits_compact_lags_mae_168h.pt,"{""batch_size"": 64, ""covariates"": [""hour_sin"", ""hour_cos"", ""dow_sin"", ""dow_cos"", ""is_weekend"", ""month"", ""lag_1h"", ""lag_2h"", ""lag_3h"", ""lag_24h"", ""lag_48h"", ""lag_168h"", ""rolling_mean_3h"", ""rolling_mean_6h"", ""rolling_mean_24h"", ""rolling_std_24h"", ""temperature_2m"", ""relative_humidity_2m"", ""wind_speed_10m"", ""heating_degree_c"", ""cooling_degree_c"", ""temperature_lag_24h"", ""temperature_roll_24h""], ""dropout"": 0.1, ""input_chunk_length"": 168, ""layer_widths"": 256, ""loss"": ""mae"", ""lr"": 0.0003, ""model_name"": ""nhits_compact_lags_mae_168h"", ""n_epochs"": 80, ""name"": ""N-HiTS compact lags MAE 168h"", ""num_blocks"": 2, ""num_layers"": 2, ""num_stacks"": 3, ""scaler"": ""standard""}",/home/chbazakas/Documents/GridMind/outputs/metrics/epochs_nhits_compact_lags_mae_168h.csv
2026-04-28T17:44:54,N-BEATS 168h,0.414,0.5992,52.6,0.2734,168,5160,/home/chbazakas/Documents/GridMind/outputs/models/nbeats_168h.pt,"{""batch_size"": 64, ""dropout"": 0.05, ""input_chunk_length"": 168, ""layer_widths"": 256, ""log_every_n_steps"": 50, ""loss"": ""mae"", ""lr"": 0.0003, ""model_name"": ""nbeats_168h"", ""model_type"": ""nbeats"", ""n_epochs"": 60, ""name"": ""N-BEATS 168h"", ""num_blocks"": 1, ""num_layers"": 3, ""num_stacks"": 12, ""progress_bar"": false, ""scaler"": ""standard""}",/home/chbazakas/Documents/GridMind/outputs/metrics/epochs_nbeats_168h.csv
